title,year,genre,plot
Serdtse parmy,2022,"Drama, Fantasy, History","The 15th century. Sent to remote Parma by the Grand Prince of Moscow, prince Yermolay tells his son Mikhail about his dream: to create a grand princedom that would unite the peoples inhabiting these lands. Soon Yermolay is killed in the battle against the rebellious local tribes, the Voguls. His heir Mikhail finds himself in the middle of two worlds - the Grand Duchy of Moscow and the ancient lands of Perm populated by pagans. Mikhail marries a local girl, Tiche, a half woman, a half lamia - a witch, a living incarnation of the main pagan symbol Golden Woman, Sorni Nai. The legend has it that whoever owns Sorni Nai, has the full control over Parma. A talented diplomate, Mikhail finds allies among the local khans. He is able to bring a fragile peace but the news about the increasingly powerful Permian Prince reaches Moscow. The Grand Prince Ivan III decides to overpower Mikhail and his allies. He intends to turn disparate Rus into a uniform and strong state, realizing that the peoples can't repel the endless invasions of the Russian lands on their own. Mikhail has a difficult choice to make: to accept the will of Moscow or to stick with the local rulers who had helped him more than once in the past and many of whom became his loyal friends. Mikhail decides to listen to his heart and not the reason and ultimately loses the battle against the Grand Prince of Moscow and with his friends and allies ends up in captivity. In the meantime, Tiche is kidnapped by Mikhail's bitter enemy Assyka who wants to regain his control over Parma, believing that Tiche the lamia is his and his alone."
Immigrant,2022,Drama,
Golden Threads: The Tailor-made Revolution,2022,Documentary,
Making Friends as the World Ends,2022,Drama,
Suitable Etc.,2022,"Comedy, Romance","A young Indian American expat navigating traditional arranged marriage matchmaking dodges bullets, spots red flags, falls in love, and comes to terms with her heritage and cultural identity."
Come Out Fighting,2022,"Action, Adventure, Drama, History, Thriller, War","Late 1944 during WWII, the American army have raced their way through the countryside on the border of France entering Nazi Germany. Hitler desperate to turn the tide, has deployed his secret weapon: an M-262 fighter jet. Lieutenant Frank Ross, a P-51 Mustang fighter pilot, encounters a Nazi weapon, and an intense aerial battle quickly ensues. Lieutenant Frank Ross is unsuccessful in the fight and is forced to eject from his own plane, landing himself behind enemy lines. Waiting for a rescue team, Frank finds himself in the middle of a German ambush against an American Tanker Patrol. Leading the USA Patrol is the 2nd Lt. Robert Hayes along with his right hand soldier, ""Sergeant A.J. Red McCarron and also Private Michael ""Salty"" Buttons serving the famed 761st Tank Battalion known as ""The Black Panthers."" Buttons and the others must find a way to put differences aside and band together to win this war."
BD Scream 7,2022,Horror,
Octopus Pot,2022,Drama,"A broken man finds the one thing he can't live without only to lose it. He can't bring back the woman he loves, but he can cover the ground with the blood of his enemy."
Diary of a Spy,2022,"Drama, Mystery, Romance, Thriller","A washed-up intelligence officer is given the chance for one last mission, recruiting an asset connected to the Saudi Royal Family."
The Janus Perspective,2022,Horror,"Three friends are confined to a small cabin where the outside world is haunted by those who did not survive. Their patience and fortitude are tested daily, as they must navigate this nightmarish world as well as each other."
Valimai,2022,"Action, Crime, Thriller","Arjun, an IPS officer sets out for a mission on hunting down illegal bikers involving in theft and murder."
Vertical,2022,"Adventure, Fantasy, Horror, Mystery",Rita is the daughter of a family carrying and ancient blood with extraordinary abilities. Every 100 years they need to sacrifice to protect the people. The destiny brings her to a rocky vertical mountains where the monsters lives.
The Last Fighter,2022,Action,"Mark is an intelligent lawyer and Martial Artist who becomes a Martial Art Champion. Mark is introduced to a Masonic Organization where he fights for a lot of money against criminals who want to win for their freedom. Mark uses his winnings to help associations that deal with poor children in the world, in which his girlfriend Aurora is also a part of. During the fights Mark will go through many emotions and challenges to the death of his opponents."
CAT 6,2022,"Horror, Thriller",What should have been a lovely vacation in the sunshine state turns into a nightmare of catastrophic proportion when strangers find themselves trapped it what seems and endless moment in time.
The Kashmir Files,2022,Drama,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth."
The Lost Cult,2022,Horror,"In the summer of 2021, six students decide to go to summer camp in the United States. Once settled, they will realize that they are not alone in the camp, and that the past comes back to haunt them one by one."
Forever Young,2022,Documentary,On the 29th February 2020 Karen Tinsley-Sroka celebrates her birthday in style aboard a cruise ship in The Bahamas with seventy-seven other Leap Year Babies.
Hope's Song,2022,Drama,"Cameron Ryder is a semi famous singer who is about to release his new album. His girlfriend Hope is facing a serious medical diagnosis no one saw coming. With the help of his entire family, they begin the treatment process, which draws Hope and Cameron even closer. Will their love be able to survive?"
A Strippers Prayer,2022,Drama,
Leonardo and the Love,2022,"Comedy, Drama, Romance","A man, quiet, unassuming and recently heartbroken is leaving his cherished life and love in a charming Italian town, when he discovers a kitten trapped in a drainpipe, tries to rescue the exhausted creature and maybe his relationship."
The Unwanted,2022,Horror,
Diorama,2022,Romance,"It follows Frida and Björn's love story, from passion to marriage to family life, from a scientific perspective."
EAMI,2022,Drama,"Eami's homeland is invaded by settlers. Embodying Asojá, the bird-god-woman, she falls into trance in which she walks slowly and stunned through her beloved forest as she prepares to leave it forever."
The Marsh,2022,Horror,
Fuhgedd About It,2022,Drama,"A bloody tale of an underground mafia crew that rose to power in a volatile world while building a criminal empire in the heart of New Jersey and surrounding New York areas. As the crew prepares for a hostile takeover, survival pf the fittest in a deadly never ending war zone results in a head to head showdown with one of the most ruthless Mexican drug cartels east of the border. All the while, another deadly mafia crew out for blood, threatens the remaining territory. To make matters even worst, Undercover FBI investigators move in to try to infiltrate the organizations. As time passes with an abundance of money in circulation, the death toll continued to climb at an all time high and the ultimate betrayal sets in. This suspenseful cat and mouse chase is based on a true story. Never before has there been a mafia story that's been so riveting and captivating. But as the saying goes, every great empire always takes a fall in the end or....Fuhgeddaboudit."
